"ID_GUID";"Nome_Modelo";"Fabricante";"Potencia_Nominal_W";"Tensao_Bateria_V";"Capacidade_Bateria_Ah";"Tensao_AC_V";"Descricao_Detalhada"
"d201dc87-df87-4539-93bd-5b57a6857e97";"SUNSYNK-5.5K-SG01/03LP1";"N/A";;;;;"Hybrid inverter that uses Solar power; Mains Utility and generators to effectively store and release power.  "
"096721f3-7f65-4c3a-a6ac-9be9fe19fc2d";"SUNSYNK-8K-SG02LP1";"N/A";;;;;"Sunsynk 8KW Hybrid Inverter"
"51357885-71b1-45f4-bce8-12ceb6f3411b";"Venus 10000 HVT";"N/A";;;;;"This series is especially suitable for application scene of high power, limited installation space, restricted load-bearing and long cycle life."
"ed88d060-f644-4f91-8184-ecd0cf0ffc65";"Venus 6000 HVS";"N/A";;;;;"This series is especially suitable for application scene of high power, limited installation space, restricted load-bearing and long cycle life."
"e4a306aa-5cdd-4d40-a850-3161f5238486";"VIC-ZEROGRID INVERTER 15.0";"N/A";;;;;"INVERTER for VIC-ZEROGRID ESS Energy Storage System"
"90dbc490-a38f-4317-b9d2-2871126dccc8";"WTS-10KW-3P";"N/A";;;;;"Wattsonic 10kw 3Phase hybrid inverter with high voltage batteries"
"14bbd4d8-bdac-43b9-883f-5f34b5bf3db1";"XSTHS1P-3.68K";"N/A";;;;;"All in one 25kwh"
"67fc401a-f3e8-46e1-9fcc-b210875ed814";"XSTHS1P-5K";"N/A";;;;;""
"493092e3-9f73-484d-85e1-7a1c26869b20";"XSTHS1P-6K";"N/A";;;;;"6kW Single phase Hybrid inverter"
"bd17fe27-7ac2-4bc2-a190-99914a1b3535";"XSTHS3P-10K";"N/A";;;;;"10kW three phase Hybrid inverter"
"1bb34110-dab9-4aba-841f-b4d1aa472eb9";"XSTHS3P-12K";"N/A";;;;;"12kW three phase Hybrid inverter"
"77895259-e3b0-41b1-b91d-8370e011e656";"XSTHS3P-8K";"N/A";;;;;"8kW three phase Hybrid inverter "
"b7551895-1d32-499e-ac1f-241788c75976";"Zugspitze-Hybrid Inverters (10KW)";"N/A";;;;;"Zugspitze-Hybrid Inverters (10KW)"
"278587fc-cd76-4262-a439-2324d53f3112";"Zugspitze-Hybrid Inverters (6KW)";"N/A";;;;;"Zugspitze-Hybrid Inverters (6KW)"
"6f865998-df3d-4ace-bd8a-b1d449169cbe";"Zugspitze-Hybrid Inverters (8KW)";"N/A";;;;;"Zugspitze-Hybrid Inverters (8KW)"
"87f15384-f61e-4a55-9c3e-099ff4483d37";"Zugspitze Hybrid Inverter G2 (10KW)";"N/A";;;;;"Zugspitze Hybrid Inverter Gen2. Standalone hybrid inverter, power range 10–18 kW. Compatible with Zugspitze all-in-one batteries, up to 40 kWh .3+1 MPPT for optimized PV input management."
"d80f305d-0984-43d5-b0a1-dab6f68fdee5";"Zugspitze Hybrid Inverter G2 (12KW)";"N/A";;;;;"Zugspitze Hybrid Inverter Gen2. Standalone hybrid inverter, power range 10–18 kW. Compatible with Zugspitze all-in-one batteries, up to 40 kWh .3+1 MPPT for optimized PV input management."
"3e46c42a-80cc-4256-bcac-d87d460ea9a3";"Zugspitze Hybrid Inverter G2 (14KW)";"N/A";;;;;"Zugspitze Hybrid Inverter Gen2. Standalone hybrid inverter, power range 10–18 kW. Compatible with Zugspitze all-in-one batteries, up to 40 kWh .3+1 MPPT for optimized PV input management."
"ccc373fd-3211-4072-9a27-03745391da73";"Zugspitze Hybrid Inverter G2 (16KW)";"N/A";;;;;"Zugspitze Hybrid Inverter Gen2. Standalone hybrid inverter, power range 10–18 kW. Compatible with Zugspitze all-in-one batteries, up to 40 kWh .3+1 MPPT for optimized PV input management."
"9f1c8cb2-9b0d-49d7-a3c5-2b9dd18376c5";"Zugspitze Hybrid Inverter G2 (18KW)";"N/A";;;;;"Zugspitze Hybrid Inverter Gen2. Standalone hybrid inverter, power range 10–18 kW. Compatible with Zugspitze all-in-one batteries, up to 40 kWh .3+1 MPPT for optimized PV input management."
