Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,A-295P_ULTRA,295,"44,82","8,78","36,23","8,14"
N/A,A-300P_ULTRA,300,"44,97","8,89","36,52","8,21"
N/A,A-45M,45,"21,8","2,8","18,2","2,47"
N/A,A-5,5,21,"0,31",17,"0,29"
N/A,A-70P,70,"22,3","4,21","17,54","3,99"
N/A,A-95M,95,"21,98","5,64","18,43","5,16"
N/A,A-HCM320/120,320,"40,42","10,15","33,52","9,53"
N/A,A-HCM330/120,330,"41,07","10,32","34,06","9,7"
N/A,A-HCM340/120,340,"41,67","9,84","34,55","9,7"
N/A,A-HCM340/120 M6 Full Black ,340,"41,67","10,47","34,55","9,84"
N/A,A-HCM345/120,345,"41,9","10,64","34,9","10,04"
N/A,A-HCM350/120,350,"42,29","10,69","34,9","10,03"
