Brand,Model,Power,Voc,Isc,Vmp,Imp
N/A,CS6.2-32TM-295 1500V,295,"35,3","10,54","29,7","9,94"
N/A,CS6.2-32TM-300 1500V,300,"35,5","10,61","29,9","10,04"
N/A,CS6.2-32TM-305 1500V,305,"35,7","10,68","30,1","10,14"
N/A,CS6.2-32TM-310 1500V,310,"35,9","10,76","30,3","10,24"
N/A,CS6.2-36TM-325 1500V,325,"39,2","10,46","32,9","9,88"
N/A,CS6.2-36TM-330 1500V,330,"39,4","10,54","33,1","9,97"
N/A,CS6.2-36TM-335 1500V,335,"39,6","10,62","33,3","10,07"
N/A,CS6.2-36TM-340 1500V,340,"39,8","10,7","33,5","10,16"
N/A,CS6.2-36TM-345 1500V,345,40,"10,78","33,7","10,25"
N/A,CS6.2-48TD-435 1500V,435,"52,3","10,47","44,2","9,85"
N/A,CS6.2-48TD-440 1500V,440,"52,5","10,54","44,4","9,91"
N/A,CS6.2-48TD-445 1500V,445,"52,7","10,61","44,6","9,98"
N/A,CS6.2-48TD-450 1500V,450,"52,9","10,68","44,8","10,05"
N/A,CS6.2-48TD-455 1500V,455,"53,1","10,75",45,"10,12"
N/A,CS6.2-48TD-460 1500V,460,"53,3","10,82","45,2","10,18"
N/A,CS6.2-48TM-435 1500V,435,"52,3","10,47","44,2","9,85"
N/A,CS6.2-48TM-440 1500V,440,"52,5","10,54","44,4","9,91"
N/A,CS6.2-48TM-445 1500V,445,"52,7","10,61","44,6","9,98"
N/A,CS6.2-48TM-450 1500V,450,"52,9","10,68","44,8","10,05"
N/A,CS6.2-48TM-455 1500V,455,"53,1","10,75",45,"10,12"
N/A,CS6.2-48TM-460 1500V,460,"53,3","10,82","45,2","10,18"
N/A,CS6.2-54TM-490 1500V,490,"39,2","15,86",33,"14,85"
N/A,CS6.2-54TM-495 1500V,495,"39,4","15,91","33,2","14,91"
N/A,CS6.2-54TM-500 1500V,500,"39,6",16,"33,4","14,98"
N/A,CS6.2-54TM-505 1500V,505,"39,8","16,05","33,6","15,04"
N/A,CS6.2-54TM-510 1500V,510,40,"16,1","33,8","15,1"
N/A,CS6.2-54TM-515 1500V,515,"40,2","16,15",34,"15,16"
N/A,CS6.2-54TM-520 1500V,520,"40,4","16,2","34,2","15,22"
N/A,CS6.2-66TB-595 1500V,595,"47,4","15,79","40,23","14,81"
N/A,CS6.2-66TB-600 1500V,600,"47,6","15,85","40,4","14,86"
N/A,CS6.2-66TB-600H 1500V,600,"47,6","15,85","40,4","14,86"
N/A,CS6.2-66TB-600H1 1500V,600,"47,6","15,85","40,4","14,86"
N/A,CS6.2-66TB-600HP 1500V,600,"47,6","15,85","40,4","14,86"
N/A,CS6.2-66TB-605 1500V,605,"47,8","15,91","40,6","14,91"
N/A,CS6.2-66TB-605H 1500V,605,"47,8","15,91","40,6","14,91"
N/A,CS6.2-66TB-605H1 1500V,605,"47,8","15,91","40,6","14,91"
N/A,CS6.2-66TB-605HP 1500V,605,"47,8","15,91","40,6","14,91"
N/A,CS6.2-66TB-610 1500V,610,48,"15,97","40,8","14,96"
N/A,CS6.2-66TB-610H 1500V,610,48,"15,97","40,8","14,96"
N/A,CS6.2-66TB-610H1 1500V,610,48,"15,97","40,8","14,96"
N/A,CS6.2-66TB-610HP 1500V,610,48,"15,97","40,8","14,96"
N/A,CS6.2-66TB-615 1500V,615,"48,2","16,02",41,"15,01"
N/A,CS6.2-66TB-615H 1500V,615,"48,2","16,02",41,"15,01"
N/A,CS6.2-66TB-615H1 1500V,615,"48,2","16,02",41,"15,01"
N/A,CS6.2-66TB-615HP 1500V,615,"48,2","16,02",41,"15,01"
N/A,CS6.2-66TB-620 1500V,620,"48,4","16,08","41,2","15,06"
N/A,CS6.2-66TB-620H 1500V,620,"48,4","16,08","41,2","15,06"
N/A,CS6.2-66TB-620H1 1500V,620,"48,4","16,08","41,2","15,06"
N/A,CS6.2-66TB-620HP 1500V,620,"48,4","16,08","41,2","15,06"
N/A,CS6.2-66TB-625 1500V,625,"48,6","16,14","41,4","15,11"
N/A,CS6.2-66TB-625H 1500V,625,"48,6","16,14","41,4","15,11"
N/A,CS6.2-66TB-625H1 1500V,625,"48,6","16,14","41,4","15,11"
N/A,CS6.2-66TB-625HP 1500V,625,"48,6","16,14","41,4","15,11"
N/A,CS6.2-66TB-630 1500V,630,"48,8","16,2","41,6","15,16"
N/A,CS6.2-66TB-630H 1500V,630,"48,8","16,2","41,6","15,16"
N/A,CS6.2-66TB-630H1 1500V,630,"48,8","16,2","41,6","15,16"
N/A,CS6.2-66TB-630HP 1500V,630,"48,8","16,2","41,6","15,16"
N/A,CS6.2-66TB-635 1500V,635,49,"16,26","41,8","15,21"
N/A,CS6.2-66TM-605 1500V,605,"47,8","15,91","40,6","14,91"
N/A,CS6.2-66TM-610 1500V,610,48,"15,97","40,8","14,96"
N/A,CS6.2-66TM-615 1500V,615,"48,2","16,02",41,"15,01"
N/A,CS6.2-66TM-620 1500V,620,"48,4","16,08","41,2","15,06"
N/A,CS6.2-66TM-625 1500V,625,"48,6","16,14","41,4","15,11"
N/A,CS6.2-66TM-630 1500V,630,"48,8","16,2","41,6","15,16"
N/A,CS6.2-66TM-635 1500V,635,49,"16,26","41,8","15,21"
N/A,CS6A-140PE,140,"28,6",7,"22,5","6,21"
N/A,CS6A-145PE,145,"28,7","7,19","22,6","6,41"
N/A,CS6A-150P,150,"28,8","7,35","22,9","6,56"
N/A,CS6A-150PE,150,"28,8","7,35","22,9","6,56"
N/A,CS6A-155P,155,"28,8","7,51","22,9","6,76"
N/A,CS6A-155PE,155,"28,8","7,51","22,9","6,76"
N/A,CS6A-160M,160,"29,2","7,56","23,3","6,86"
N/A,CS6A-160P,160,"28,9","7,67","23,1","6,93"
N/A,CS6A-160PE,160,"28,9","7,67","23,1","6,93"
N/A,CS6A-165M,165,"29,2","7,71","23,4","7,06"
N/A,CS6A-165P,165,29,"7,82","23,1","7,13"
N/A,CS6A-165PE,165,29,"7,82","23,1","7,13"
N/A,CS6A-170M,170,"29,4","7,8","23,5","7,24"
N/A,CS6A-170P,170,"29,2","7,92","23,2","7,32"
N/A,CS6A-170PE,170,"29,2","7,92","23,2","7,32"
N/A,CS6A-170PE (copy_),170,"29,2","7,92","23,2","7,32"
N/A,CS6A-175M,175,"29,5","7,92","23,6","7,41"
N/A,CS6A-175P,175,"29,3","8,04","23,4","7,49"
N/A,CS6A-175PE,175,"29,3","8,04","23,4","7,49"
N/A,CS6A-180M,180,"29,6","8,07","23,8","7,58"
N/A,CS6A-180P,180,"29,4","8,19","23,5","7,65"
N/A,CS6A-180PE,180,"29,4","8,19","23,5","7,65"
N/A,CS6A-185M,185,"29,7","8,26","23,9","7,74"
N/A,CS6A-185P,185,"29,4","8,39","23,7","7,82"
N/A,CS6A-185PE,185,"29,4","8,39","23,7","7,82"
N/A,CS6A-190M,190,"29,8","8,38","24,1","7,87"
N/A,CS6A-190P,190,"29,6","8,5","23,9","7,95"
N/A,CS6A-190PE,190,"29,6","8,5","23,9","7,95"
N/A,CS6A-195M,195,"29,9","8,56","24,2","8,04"
N/A,CS6A-195P,195,"29,6","8,69",24,"8,13"
N/A,CS6A-200M,200,30,"8,47","24,3","8,22"
N/A,CS6A-200P,200,"29,8","8,87","24,1","8,3"
N/A,CS6A-205M,205,"30,2","8,9","24,5","8,38"
N/A,CS6A-205P,205,"29,9","9,03","24,2","8,47"
N/A,CS6A-210M,210,"30,3","9,06","24,6","8,54"
N/A,CS6A-210MM,210,"30,3","9,06","24,6","8,54"
N/A,CS6A-210P,210,30,"9,19","24,3","8,63"
N/A,CS6A-215MM,215,"30,4","9,22","24,7","8,7"
N/A,CS6A-220MM,220,"30,5","9,38","24,8","8,86"
N/A,CS6A - 235MS,235,"31,8","9,68","25,7","9,14"
N/A,CS6A - 245MS,245,"32,2","9,84","26,1","9,39"
N/A,CS6C-125M,125,22,"7,71","17,6","7,12"
N/A,CS6C-125P,125,"21,8","7,83","17,4","7,19"
N/A,CS6C-130M,130,"22,1","7,95","17,6","7,38"
N/A,CS6C-130P,130,"21,9","8,07","17,4","7,46"
N/A,CS6C-135M,135,"22,2","8,07","17,8","7,58"
N/A,CS6C-135P,135,22,"8,19","17,6","7,65"
N/A,CS6C-140M,140,"22,3","8,28",18,"7,76"
N/A,CS6C-140P,140,"22,1","8,4","17,9","7,84"
N/A,CS6C-145M,145,"22,4","8,52","18,1","8,01"
N/A,CS6C-145P,145,"22,2","8,65","17,9","8,09"
N/A,CS6D-60M,60,"21,9","3,78","17,5","3,43"
N/A,CS6D-60P,60,"21,7","3,84","17,3","3,47"
N/A,CS6D-65M,65,"22,1","3,96","17,6","3,68"
N/A,CS6D-65P,65,"21,9","4,02","17,5","3,72"
N/A,CS6D-70M,70,"22,3","4,15",18,"3,89"
N/A,CS6D-70P,70,"22,1","4,21","17,8","3,93"
N/A,CS6K-250P,250,"37,2","8,87","30,1","8,3"
N/A,CS6K-255P,255,"37,4",9,"30,2","8,43"
N/A,CS6K-260P,260,"37,5","9,12","30,4","8,56"
N/A,CS6K-260P,260,"37,5","9,12","30,4","8,56"
N/A,CS6K-260P-FG,260,"37,5","9,12","30,4","8,56"
N/A,CS6K-260P_1500V,260,"37,5","9,12","30,4","8,56"
N/A,CS6K-265P ,265,"37,7","9,23","30,6","8,66"
N/A,CS6K-265P-FG,265,"37,7","9,23","30,6","8,66"
N/A,CS6K-265P_1500V,265,"37,7","9,23","30,6","8,66"
N/A,CS6K-270M,270,"38,2","9,19","31,1","8,67"
N/A,CS6K-270M_1500V,270,"38,2","9,19","31,1","8,67"
N/A,CS6K-270P ,270,"37,9","9,32","30,8","8,75"
N/A,CS6K-270P-FG,270,"37,9","9,32","30,8","8,75"
N/A,CS6K-270P_1500V ,270,"37,9","9,32","30,8","8,75"
N/A,CS6K-275M,275,"38,3","9,31","31,3","8,8"
N/A,CS6K-275M_1500V,275,"38,3","9,31","31,3","8,8"
N/A,CS6K-275P ,275,38,"9,45",31,"8,88"
N/A,CS6K-275P-FG,275,38,"9,45",31,"8,88"
N/A,CS6K-275P_1500V,275,38,"9,45",31,"8,88"
N/A,CS6K-280M,280,"38,5","9,43","31,5","8,89"
N/A,CS6K-280M,280,"38,5","9,43","31,5","8,89"
N/A,CS6K-280M_1500V,280,"38,5","9,43","31,5","8,89"
N/A,CS6K-280P,280,"38,2","9,52","31,3","8,95"
N/A,CS6K-285M,285,"38,6","9,51","31,7","8,98"
N/A,CS6K-285M_1500V,285,"38,6","9,51","31,7","8,98"
N/A,CS6K-285MS,285,"39,1","9,59","31,9","8,94"
N/A,CS6K-285P,285,"38,3","9,64","31,4","9,06"
N/A,CS6K-290MS,290,"39,3","9,67","32,1","9,05"
N/A,CS6K-290P,290,"38,5","9,72","31,6","9,18"
N/A,CS6K-295MS,295,"39,5","9,75","32,3","9,14"
N/A,CS6K-295P,295,"38,5","9,72","31,8","9,28"
N/A,CS6K-300MS,300,"39,5","9,83","32,5","9,24"
N/A,CS6K-305MS,305,"39,9","9,91","32,7","9,33"
N/A,CS6K-310MS,310,"40,1","9,99","32,9","9,43"
N/A,CS6K-315MS,315,"40,3","10,07","33,1","9,52"
N/A,CS6K - 280P-FG,280,"38,2","9,52","31,3","8,95"
N/A,CS6K - 280P 1500V,280,"38,2","9,52","31,3","8,95"
N/A,CS6L-445MS,445,"40,8","13,86","34,2","13,03"
N/A,CS6L-445MS 1500V,445,"40,8","13,86","34,2","13,03"
N/A,CS6L-450MS,450,41,"13,9","34,4","13,1"
N/A,CS6L-450MS 1500V,450,41,"13,9","34,4","13,1"
N/A,CS6L-455MS,455,"41,2","13,95","34,6","13,17"
N/A,CS6L-455MS 1500V,455,"41,2","13,95","34,6","13,17"
N/A,CS6L-460MS,460,"41,4",14,"34,8","13,24"
N/A,CS6L-460MS 1500V,460,"41,4",14,"34,8","13,24"
N/A,CS6L-465MS,465,"41,6","14,09",35,"13,3"
N/A,CS6L-465MS 1500V,465,"41,6","14,09",35,"13,3"
N/A,CS6P-170PE,170,"35,7","6,85",28,"6,07"
N/A,CS6P-175PE,175,"35,8",7,"28,2","6,21"
N/A,CS6P-180PE,180,"35,8","7,16","28,2","6,38"
N/A,CS6P-185PE,185,"35,9","7,27","28,5","6,49"
N/A,CS6P-190P,190,36,"7,42","28,6","6,64"
N/A,CS6P-190PE,190,36,"7,42","28,6","6,64"
N/A,CS6P-195P,195,"36,1","7,54","28,7","6,8"
N/A,CS6P-195PE,195,"36,1","7,54","28,7","6,8"
N/A,CS6P-200M,200,"36,5","7,56","29,2","6,86"
N/A,CS6P-200P,200,"36,2","7,67","28,9","6,93"
N/A,CS6P-200PE,200,"36,2","7,67","28,9","6,93"
N/A,CS6P-205M,205,"36,5","7,66","29,2","7,02"
N/A,CS6P-205P,205,"36,2","7,78","28,9","7,09"
N/A,CS6P-205PE,205,"36,2","7,78","28,9","7,09"
N/A,CS6P-210M,210,"36,7","7,77","29,3","7,17"
N/A,CS6P-210P,210,"36,4","7,89",29,"7,25"
N/A,CS6P-210PE,210,"36,4","7,89",29,"7,25"
N/A,CS6P-215M,215,"36,8","7,89","29,3","7,33"
N/A,CS6P-215P,215,"36,5","8,01",29,"7,4"
N/A,CS6P-215PE,215,"36,5","8,01",29,"7,4"
N/A,CS6P-220M,220,"36,9","7,97","29,5","7,45"
N/A,CS6P-220P,220,"36,6","8,09","29,2","7,53"
N/A,CS6P-220PE,220,"36,6","8,09","29,2","7,53"
N/A,CS6P-225M,225,37,"8,07","29,7","7,58"
N/A,CS6P-225P,225,"36,7","8,19","29,4","7,65"
N/A,CS6P-225PE,225,"36,7","8,19","29,4","7,65"
N/A,CS6P-230M,230,"37,1","8,22","29,9","7,7"
N/A,CS6P-230P,230,"36,8","8,34","29,6","7,78"
N/A,CS6P-230PE,230,"36,8","8,34","29,6","7,78"
N/A,CS6P-235M,235,"37,2","8,34","30,1","7,82"
N/A,CS6P-235P,235,"36,9","8,46","29,8","7,9"
N/A,CS6P-240M,240,"37,3","8,46","30,2","7,95"
N/A,CS6P-240P,240,37,"8,59","29,9","8,03"
N/A,CS6P-245M,245,"37,4","8,61","30,3","8,09"
N/A,CS6P-245P,245,"37,1","8,74",30,"8,17"
N/A,CS6P-250M,250,"37,5","8,74","30,4","8,22"
N/A,CS6P-250P,250,"37,2","8,87","30,1","8,3"
N/A,CS6P-255M,255,"37,7","8,87","30,5","8,35"
N/A,CS6P-255P,255,"37,4",9,"30,2","8,43"
N/A,CS6P-260M,260,"37,8","8,99","30,7","8,48"
N/A,CS6P-260MM,260,"37,8","8,99","30,7","8,48"
N/A,CS6P-260P,260,"37,5","9,12","30,4","8,56"
N/A,CS6P-260P,260,"37,5","9,12","30,4","8,56"
N/A,CS6P-265M,265,"37,9","9,12","30,8","8,61"
N/A,CS6P-265MM,265,"37,9","9,12","30,8","8,61"
N/A,CS6P-265P ,265,"37,7","9,23","30,6","8,66"
N/A,CS6P-265P,265,"37,7","9,23","30,6","8,66"
N/A,CS6P-270M,270,"38,2","9,19","31,1","8,67"
N/A,CS6P-270MM,270,38,"9,25","30,9","8,74"
N/A,CS6P-270P,270,"37,9","9,32","30,8","8,75"
N/A,CS6P-270P ,270,"37,9","9,32","30,8","8,75"
N/A,CS6R-380MS,380,36,"13,55",30,"12,69"
N/A,CS6R-380MS 1000V,380,36,"13,55",30,"12,69"
N/A,CS6R-380MS 1500V,380,36,"13,55",30,"12,69"
N/A,CS6R-380MS 1500V,380,36,"13,55",30,"12,69"
N/A,CS6R-385MS,385,"36,2","13,63","30,2","12,77"
N/A,CS6R-385MS 1000V,385,"36,2","13,63","30,2","12,77"
N/A,CS6R-385MS 1500V,385,"36,2","13,63","30,2","12,77"
N/A,CS6R-385MS 1500V,385,"36,2","13,63","30,2","12,77"
N/A,CS6R-390MS,390,"36,4","13,7","30,4","12,84"
N/A,CS6R-390MS 1000V,390,"36,4","13,7","30,4","12,84"
N/A,CS6R-390MS 1500V,390,"36,4","13,7","30,4","12,84"
N/A,CS6R-390MS 1500V,390,"36,4","13,7","30,4","12,84"
N/A,CS6R-395MS,395,"36,6","13,77","30,6","12,91"
N/A,CS6R-395MS 1000V,395,"36,6","13,77","30,6","12,91"
N/A,CS6R-395MS1500V,395,"36,6","13,77","30,6","12,91"
N/A,CS6R-395MS1500V,395,"36,6","13,77","30,6","12,91"
N/A,CS6R-400MS,400,"36,8","13,85","30,8","12,99"
N/A,CS6R-400MS 1000V,400,"36,8","13,85","30,8","12,99"
N/A,CS6R-400MS 1500V,400,"36,8","13,85","30,8","12,99"
N/A,CS6R-400MS 1500V,400,"36,8","13,85","30,8","12,99"
N/A,CS6R-405MS,405,37,"13,93",31,"13,07"
N/A,CS6R-405MS 1000V,405,37,"13,93",31,"13,07"
N/A,CS6R-405MS 1500V,405,37,"13,93",31,"13,07"
N/A,CS6R-405MS 1500V,405,37,"13,93",31,"13,07"
N/A,CS6R-410MS,410,"37,2","14,01","31,2","13,15"
N/A,CS6R-410MS 1000V,410,"37,2","14,01","31,2","13,15"
N/A,CS6R-410MS 1500V,410,"37,2","14,01","31,2","13,15"
N/A,CS6R-410MS 1500V,410,"37,2","14,01","31,2","13,15"
N/A,CS6R-410T 1000V,410,"38,2","13,61","31,2","13,15"
N/A,CS6R-410T 1500V,410,"38,2","13,61","31,2","13,15"
N/A,CS6R-415H-AG,415,"40,02","13,23","33,64","12,34"
N/A,CS6R-415H-AG 1000V,415,"40,02","13,23","33,64","12,34"
N/A,CS6R-415H-AG 1500V,415,"40,02","13,23","33,64","12,34"
N/A,CS6R-415H-AG_1500V,415,"40,02","13,23","33,64","12,34"
N/A,CS6R-415MS,415,"37,4","14,09","31,4","13,23"
N/A,CS6R-415MS 1000V,415,"37,4","14,09","31,4","13,23"
N/A,CS6R-415MS 1500V,415,"37,4","14,09","31,4","13,23"
N/A,CS6R-415MS 1500V,415,"37,4","14,09","31,4","13,23"
N/A,CS6R-415T 1000V,415,"38,4","13,66","31,4","13,22"
N/A,CS6R-415T 1500V,415,"38,4","13,66","31,4","13,22"
N/A,CS6R-420H-AG,420,"40,06","13,28","33,68","12,48"
N/A,CS6R-420H-AG 1000V,420,"40,06","13,28","33,68","12,48"
N/A,CS6R-420H-AG 1500V,420,"40,06","13,28","33,68","12,48"
N/A,CS6R-420H-AG_1500V,420,"40,06","13,28","33,68","12,48"
N/A,CS6R-420MS,420,"37,6","14,17","31,6","13,31"
N/A,CS6R-420MS 1000V,420,"37,6","14,17","31,6","13,31"
N/A,CS6R-420MS 1500V,420,"37,6","14,17","31,6","13,31"
N/A,CS6R-420MS 1500V,420,"37,6","14,17","31,6","13,31"
N/A,CS6R-420T 1000V,420,"38,6","13,71","31,6","13,3"
N/A,CS6R-420T 1500V,420,"38,6","13,71","31,6","13,3"
N/A,CS6R-425H-AG,425,"40,1","13,33","33,72","12,62"
N/A,CS6R-425H-AG 1000V,425,"40,1","13,33","33,72","12,62"
N/A,CS6R-425H-AG 1500V,425,"40,1","13,33","33,72","12,62"
N/A,CS6R-425H-AG_1500V,425,"40,1","13,33","33,72","12,62"
N/A,CS6R-425T 1000V,425,"38,8","13,78","31,8","13,37"
N/A,CS6R-425T 1500V,425,"38,8","13,78","31,8","13,37"
N/A,CS6R-430H-AG,430,"40,14","13,38","33,76","12,76"
N/A,CS6R-430H-AG 1000V,430,"40,14","13,38","33,76","12,76"
N/A,CS6R-430H-AG 1500V,430,"40,14","13,38","33,76","12,76"
N/A,CS6R-430H-AG_1500V,430,"40,14","13,38","33,76","12,76"
N/A,CS6R-430T 1000V,430,39,"13,86",32,"13,44"
N/A,CS6R-430T 1500V,430,39,"13,86",32,"13,44"
N/A,CS6R-435H-AG,435,"40,18","13,43","33,8","12,89"
N/A,CS6R-435H-AG 1000V,435,"40,18","13,43","33,8","12,89"
N/A,CS6R-435H-AG 1500V,435,"40,18","13,43","33,8","12,89"
N/A,CS6R-435H-AG_1500V,435,"40,18","13,43","33,8","12,89"
N/A,CS6R-435T 1000V,435,"39,2","13,94","32,2","13,51"
N/A,CS6R-435T 1500V,435,"39,2","13,94","32,2","13,51"
N/A,CS6R-440H-AG,440,"40,22","13,48","33,86","13,02"
N/A,CS6R-440H-AG 1000V,440,"40,22","13,48","33,86","13,02"
N/A,CS6R-440H-AG 1500V,440,"40,22","13,48","33,86","13,02"
N/A,CS6R-440H-AG_1500V,440,"40,22","13,48","33,86","13,02"
N/A,CS6R-440T 1000V,440,"39,4","14,01","32,4","13,59"
N/A,CS6R-440T 1500V,440,"39,4","14,01","32,4","13,59"
N/A,CS6R-445T 1000V,445,"39,6","14,09","32,6","13,66"
N/A,CS6R-445T 1500V,445,"39,6","14,09","32,6","13,66"
N/A,CS6R-450T 1000V,450,"39,8","14,16","32,8","13,72"
N/A,CS6R-450T 1500V,450,"39,8","14,16","32,8","13,72"
N/A,CS6U-310P,310,"44,9","9,08","36,4","8,52"
N/A,CS6U-310P_1500V,310,"44,9","9,08","36,4","8,52"
N/A,CS6U-315P,315,"45,1","9,18","36,6","8,61"
N/A,CS6U-315P_1500V,315,"45,1","9,18","36,6","8,61"
N/A,CS6U-320P,320,"45,3","9,26","36,8","8,69"
N/A,CS6U-320P_1500V,320,"45,3","9,26","36,8","8,69"
N/A,CS6U-325M,325,"45,8","9,21","37,4","8,69"
N/A,CS6U-325M_1500V,325,"45,8","9,21","37,4","8,69"
N/A,CS6U-325P,325,"45,5","9,34",37,"8,78"
N/A,CS6U-325P_1500V,325,"45,5","9,34",37,"8,78"
N/A,CS6U-330M,330,"45,9","9,31","37,5","8,8"
N/A,CS6U-330M_1500V,330,"45,9","9,31","37,5","8,8"
N/A,CS6U-330P,330,"45,6","9,45","37,2","8,88"
N/A,CS6U-335M,335,"46,1","9,41","37,8","8,87"
N/A,CS6U-335M_1500V,335,"46,1","9,41","37,8","8,87"
N/A,CS6U-335P,335,"45,8","9,54","37,4","8,96"
N/A,CS6U-340M,340,"46,2","9,48","37,9","8,97"
N/A,CS6U-340M,340,"46,2","9,48","37,9","8,97"
N/A,CS6U-340M_1500V,340,"46,2","9,48","37,9","8,97"
N/A,CS6U - 330P 1500V,330,"45,6","9,45","37,2","8,88"
N/A,CS6U - 335P 1500V,335,"45,8","9,54","37,4","8,96"
N/A,CS6V-210P,210,"31,1","8,92","25,1","8,35"
N/A,CS6V-215P,215,"31,1","8,92","25,1","8,35"
N/A,CS6V-220MM,220,"31,6","9,08","25,7","8,56"
N/A,CS6V-220P,220,"31,4","9,21","25,5","8,64"
N/A,CS6V-225MM,225,"31,8","9,19",26,"8,67"
N/A,CS6V-225P,225,"31,6","9,32","25,7","8,75"
N/A,CS6V-230MM,230,"31,9","9,33","26,1","8,81"
N/A,CS6V-230P,230,"31,6","9,32","25,7","8,75"
N/A,CS6V - 255MS,255,"33,3","9,91","27,2","9,38"
N/A,CS6W-525MB-AG,525,"48,6","13,75","40,7","12,9"
N/A,CS6W-525MB-AG 1000V,525,"48,6","13,75","40,7","12,9"
N/A,CS6W-525MB-AG 1500V,525,"48,6","13,75","40,7","12,9"
N/A,CS6W-525MB-AG_1500V,525,"48,6","13,75","40,7","12,9"
N/A,CS6W-530MB-AG,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MB-AG 1000V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MB-AG 1500V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MB-AG_1500V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MS,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MS 1000V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MS 1500V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-530MS_1500V,530,"48,8","13,8","40,9","12,96"
N/A,CS6W-535MB-AG,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MB-AG 1000V,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MB-AG 1500V,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MB-AG_1500V,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MS,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MS 1000V,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MS 1500V,535,49,"13,85","41,1","13,02"
N/A,CS6W-535MS_1500V,535,49,"13,85","41,1","13,02"
N/A,CS6W-540MB-AG,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MB-AG 1000V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MB-AG 1500V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MB-AG_1500V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MS,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MS 1000V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MS 1500V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-540MS_1500V,540,"49,2","13,9","41,3","13,08"
N/A,CS6W-545MB-AG,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MB-AG 1000V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MB-AG 1500V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MB-AG_1500V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MS,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MS 1000V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MS 1500V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545MS_1500V,545,"49,4","13,95","41,5","13,14"
N/A,CS6W-545TB-AG 1000V,545,"50,8","13,54","41,7","13,07"
N/A,CS6W-545TB-AG 1500V,545,"50,8","13,54","41,7","13,07"
N/A,CS6W-550MB-AG 1000V,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550MB-AG 1500V,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550MS,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550MS 1000V,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550MS 1500V,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550MS 1500V,550,"49,6",14,"41,7","13,2"
N/A,CS6W-550T 1000V,550,51,"13,59","41,9","13,13"
N/A,CS6W-550T 1500V,550,51,"13,59","41,9","13,13"
N/A,CS6W-550TB-AG 1000V,550,51,"13,59","41,9","13,13"
N/A,CS6W-550TB-AG 1500V,550,51,"13,59","41,9","13,13"
N/A,CS6W-555MS 1000V,555,"49,8","14,05","41,9","13,25"
N/A,CS6W-555MS 1500V,555,"49,8","14,05","41,9","13,25"
N/A,CS6W-555T 1000V,555,"51,2","13,64","42,1","13,19"
N/A,CS6W-555T 1500V,555,"51,2","13,64","42,1","13,19"
N/A,CS6W-555TB-AG 1000V,555,"51,2","13,64","42,1","13,19"
N/A,CS6W-555TB-AG 1500V,555,"51,2","13,64","42,1","13,19"
N/A,CS6W-560T 1000V,560,"51,4","13,69","42,3","13,24"
N/A,CS6W-560T 1500V,560,"51,4","13,69","42,3","13,24"
N/A,CS6W-560TB-AG 1000V,560,"51,4","13,69","42,3","13,24"
N/A,CS6W-560TB-AG 1500V,560,"51,4","13,69","42,3","13,24"
N/A,CS6W-565T 1000V,565,"51,6","13,75","42,5","13,3"
N/A,CS6W-565T 1500V,565,"51,6","13,75","42,5","13,3"
N/A,CS6W-565TB-AG 1000V,565,"51,6","13,75","42,5","13,3"
N/A,CS6W-565TB-AG 1500V,565,"51,6","13,75","42,5","13,3"
N/A,CS6W-570T 1000V,570,"51,8","13,81","42,7","13,35"
N/A,CS6W-570T 1500V,570,"51,8","13,81","42,7","13,35"
N/A,CS6W-570TB-AG 1000V,570,"51,8","13,81","42,7","13,35"
N/A,CS6W-570TB-AG 1500V,570,"51,8","13,81","42,7","13,35"
